login,password,worker,first_name,last_name,middle_name,birthday,email,phone,personal_discount
josefina.carter,lIjXaL7W2h,true,Josefina,Carter,Josefina,1982-12-07,josefina.carter@email.com,+2499165249844,0
cary.rodriguez,5ct4EKSBGP,false,Cary,Rodriguez,Cary,1969-06-09,cary.rodriguez@email.com,+386(611)679054,0
martin.leannon,XpmPNio9ke,false,Martin,Leannon,Martin,1958-11-12,martin.leannon@email.com,+96440526677664,0
gillian.dibbert,rAIab9xQHE,true,Gillian,Dibbert,Gillian,1964-10-12,gillian.dibbert@email.com,+1345(665)89624,0
phoebe.hammes,NqdYlyt95f,true,Phoebe,Hammes,Phoebe,1971-01-07,phoebe.hammes@email.com,+35513732346035,0
joslyn.swaniawski,ZgE6DkvipV,false,Joslyn,Swaniawski,Joslyn,1991-12-05,joslyn.swaniawski@email.com,+25425685375949,0
ignacio.grant,Nmk0uGpHtP,true,Ignacio,Grant,Ignacio,1971-08-31,ignacio.grant@email.com,+69197623474001,0
lavinia.boyle,2Eq7nAgRWd,false,Lavinia,Boyle,Lavinia,1961-09-23,lavinia.boyle@email.com,+21274040855983,0
francina.ledner,43UgxGTIhs,true,Francina,Ledner,Francina,1977-05-24,francina.ledner@email.com,+30(775)0911223,0
cathern.effertz,QaEyNZm6Rg,true,Cathern,Effertz,Cathern,1981-02-21,cathern.effertz@email.com,+99519108852913,0
pablo.buckridge,syciM1aXVh,true,Pablo,Buckridge,Pablo,1965-02-27,pablo.buckridge@email.com,+26718399604057,0
lee.monahan,7ZNUld9qoD,false,Lee,Monahan,Lee,1972-09-25,lee.monahan@email.com,+45(159)8796119,0
holli.emard,F9sevH3xZ1,true,Holli,Emard,Holli,1973-11-29,holli.emard@email.com,+354(230)352158,0
christian.west,iOpG3EJywr,false,Christian,West,Christian,1973-12-23,christian.west@email.com,+1787(487)96306,0
joan.willms,SJWzv0pDRs,false,Joan,Willms,Joan,1987-08-14,joan.willms@email.com,+29112220014530,0
carroll.rogahn,4NMcUtJ2kA,true,Carroll,Rogahn,Carroll,1993-03-12,carroll.rogahn@email.com,+69254342330541,0
aubrey.jenkins,7j61CUri2X,true,Aubrey,Jenkins,Aubrey,1968-10-26,aubrey.jenkins@email.com,+38148029017024,0
kieth.larkin,ZF1pLhON80,false,Kieth,Larkin,Kieth,1969-02-24,kieth.larkin@email.com,+21262903077306,0
corine.rogahn,whpIKgLjtY,true,Corine,Rogahn,Corine,1959-01-03,corine.rogahn@email.com,+39933158430447,0
johnson.effertz,SAV7he8LHm,true,Johnson,Effertz,Johnson,1983-11-16,johnson.effertz@email.com,+98(939)9126347,0
anibal.willms,m0gyCbFiIZ,false,Anibal,Willms,Anibal,1982-07-15,anibal.willms@email.com,+51604244342295,0
noel.padberg,avn7sZoO1u,false,Noel,Padberg,Noel,1969-05-18,noel.padberg@email.com,+250(987)969052,0
oretha.bradtke,TwJjU6rXmt,false,Oretha,Bradtke,Oretha,1977-08-05,oretha.bradtke@email.com,+880(729)363659,0
brendon.osinski,flETDLW9rI,false,Brendon,Osinski,Brendon,2001-05-19,brendon.osinski@email.com,+96710261179007,0
horacio.prosacco,g6ksMxcTtV,true,Horacio,Prosacco,Horacio,1964-03-07,horacio.prosacco@email.com,+85615453757430,0
clinton.lemke,f6nk83KLNe,false,Clinton,Lemke,Clinton,1990-10-30,clinton.lemke@email.com,+2608639996955,0
kami.nienow,jcAJv1mdKB,true,Kami,Nienow,Kami,1984-12-19,kami.nienow@email.com,+68011085786825,0
gino.reichert,WetzmFfwQx,false,Gino,Reichert,Gino,1987-11-05,gino.reichert@email.com,+96425148418273,0
trinidad.stokes,sXwp6bJvRf,true,Trinidad,Stokes,Trinidad,1976-07-09,trinidad.stokes@email.com,+23610809431964,0
cyril.pfannerstill,69wcXNR8tb,true,Cyril,Pfannerstill,Cyril,1990-07-24,cyril.pfannerstill@email.com,+951397250672,0
hwa.bauch,9CHo3AfTP4,true,Hwa,Bauch,Hwa,2000-04-18,hwa.bauch@email.com,+592(860)113833,0
chrissy.mckenzie,ZhPbWJvqYM,false,Chrissy,McKenzie,Chrissy,1982-10-12,chrissy.mckenzie@email.com,+12641284462797,0
chase.nitzsche,Aoj6h3nl9W,false,Chase,Nitzsche,Chase,1995-10-19,chase.nitzsche@email.com,+96614775546607,0
willia.mclaughlin,kcMmlobAIE,false,Willia,McLaughlin,Willia,1987-07-27,willia.mclaughlin@email.com,+359(639)131344,0
phillip.lang,CtlaRXUvf6,true,Phillip,Lang,Phillip,1963-10-31,phillip.lang@email.com,+35912028195987,0
patrick.bogan,5iuaZg0rOC,true,Patrick,Bogan,Patrick,1981-06-15,patrick.bogan@email.com,+23480341552528,0
olevia.hettinger,d4AIhxp0BM,false,Olevia,Hettinger,Olevia,1965-12-21,olevia.hettinger@email.com,+22963868991435,0
tyrone.strosin,wpcAkJyLOq,false,Tyrone,Strosin,Tyrone,1969-08-22,tyrone.strosin@email.com,+248(685)935860,0
hertha.mclaughlin,qN6x5MJOgj,false,Hertha,McLaughlin,Hertha,1963-05-01,hertha.mclaughlin@email.com,+50813049671557,0
william.vonrueden,pjvHVqdeEu,false,William,VonRueden,William,1989-07-30,william.vonrueden@email.com,+23512873154396,0
kris.hartmann,3yfkrD5eYE,false,Kris,Hartmann,Kris,1961-11-29,kris.hartmann@email.com,+389(436)081882,0
dee.lang,7xlS68Eomk,false,Dee,Lang,Dee,2004-03-28,dee.lang@email.com,+2449587483509,0
darell.mcdermott,6XgevQNhG1,true,Darell,McDermott,Darell,1999-05-02,darell.mcdermott@email.com,+25795949504276,0
cleopatra.ferry,MRfcBNqz2T,true,Cleopatra,Ferry,Cleopatra,2001-07-18,cleopatra.ferry@email.com,+2243728951455,0
jewel.rodriguez,jShk8pvJd3,false,Jewel,Rodriguez,Jewel,1988-02-01,jewel.rodriguez@email.com,+252(321)952387,0
